"DC","DSB","Lon","Lat","Anch","Mun","LogAnch"
4.416187144,-60.0930048,-79.60083333,-7.497895,0.100183,0,0.0954765296037933
40.01454441,1.747951921,-76.78693333,-13.24661667,1.811714,0,1.03379426180579
76.20286575,-1.450497767,-80.43476517,-7.34426517,7.342495,0,2.12136233230249
33.31523317,-19.44709826,-76.59266791,-13.38450125,0.350061,475.495226,0.300149776614703
18.88288597,8.39982137,-81.45823333,-4.7915,2.568426,0,1.27212460220963
4.024046649,-3.854308786,-74.33256667,-15.88281546,0,28.213181,0
8.870001635,-27.35557126,-77.71998583,-11.0845,6.752174,1994.038706,2.04797332015699
26.48999992,21.59816298,-74.95676,-15.79076,8.644232,0,2.2663600164377
6.188937817,1.648064433,-75.04084417,-15.5155,0.134523,0,0.126212298280387
3.648419707,-60.6894287,-79.60402161,-7.48131172,6.538666,0,2.02004524329021
30.07169439,-13.09675347,-76.55982559,-13.60339613,157.939365,590.936791,5.06852277728573
32.61412635,1.309928367,-78.32725125,-10.46216667,1649.385656,0,7.4087642704929
5.466905339,-23.85678748,-81.15423542,-5.02143125,0,0,0
2.185237664,-14.49816898,-76.41912568,-13.88451802,3165.343571,0,8.06033275350456
5.951411253,-16.37441644,-80.85725,-6.30680733,950.932807,0,6.85849445141807
45.36247346,-37.68373075,-78.76273083,-9.75019875,655.483667,0,6.48689781453009
29.074414,-55.60621501,-79.5582055,-8.03675275,1547.749692,0,7.34520323407328
15.65098922,-14.89680847,-77.99457542,-10.70590875,2.418845,0,1.22930277473626
6.941618492,-26.51094581,-76.6216653,-12.8425347,89.540343,0,4.50579553038146
9.884061738,-29.17027834,-80.95005961,-5.63151667,141.462094,0,4.95907595730502
4.224659586,-0.8803373,-74.62255458,-15.70594542,31.149962,92.769269,3.47041126872337
4.082851169,-53.76724616,-76.23421667,-13.4185636,79.301416,0,4.38578725467022
28.72936132,-18.60870291,-77.69413125,-11.56813125,117.501662,0,4.77492698579329
8.181970524,-47.24430072,-76.2675,-13.48040667,387.004341,0,5.96101652770502
25.94857801,-8.322892494,-77.88465125,-11.18066667,9.900852,0,2.38884095131798
12.57660969,6.133656774,-81.3172925,-4.16516667,71.645678,0,4.28559389753777
8.794015833,-45.07107871,-76.27133333,-13.51394833,867.814601,0,6.76712975497768
32.05331149,-8.645441868,-77.45556905,-12.15260238,187.72234,0,5.2402768343443
7.137246545,-51.67495506,-78.30983333,-9.87766417,0.09035,39.776487,0.086498745616617
