Anho,Mes,DC,DSB,Lon,Lat,SST,SSS,SSO,Depth,Anch,Sard,Jur,Cab,Sam,Mun,Fvol,Bagr,Pota,Vinc,Camo,Micto,Euph,Pcin,water.type,watermass,num.card.ANC,prof.card.ANC
2008,11,48.1447594,-25.62468631,-80.07228445,-7.38528445,17.099,35.067,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,50.0209607,-23.79029752,-80.08704364,-7.3937103,17.169,35.068,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,51.91397791,-21.94481912,-80.10197419,-7.40214085,17.238,35.068,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,53.78016938,-20.08839261,-80.11666667,-7.4105,17.304,35.068,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,55.65140153,-18.22864937,-80.13133333,-7.419,17.37,35.068,NA,NA,85.48909,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,57.52980436,-16.36191776,-80.14616667,-7.42733333,17.433,35.068,NA,NA,22.048519,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,59.40053829,-14.50883134,-80.16083333,-7.43582395,17.495,35.068,NA,NA,36179.93485,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,60.36308299,-13.52578877,-80.16950099,-7.4381674,17.525,35.068,NA,NA,105811.1885,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,63.18691689,-10.75696131,-80.1910515,-7.4520515,17.616,35.068,NA,NA,977.434197,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,65.07411527,-8.922382134,-80.20558647,-7.46108647,17.674,35.068,NA,NA,4500.197784,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,66.9663445,-7.101376829,-80.22033333,-7.46983333,17.73,35.068,NA,NA,5522.200028,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,68.84655316,-5.340873769,-80.235,-7.4785,17.785,35.068,NA,NA,6304.154678,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,70.76007579,-3.675085642,-80.24991899,-7.48733333,17.839,35.068,NA,NA,2549.980793,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
