DC,DSB,Lon,Lat,SST,SSS,Anch
176.1985853,40.96923118,-80.44,-9.04814083,20.44056121,35.13960758,0
175.726985,41.71279007,-80.44858625,-9.03358042,20.41490486,35.13720179,0
175.2987228,42.57127581,-80.45759317,-9.01890683,20.38893214,35.13470125,0
174.8429046,43.59223212,-80.4674992,-9.00266746,20.3722129,35.13194088,0
174.4693178,44.59194429,-80.47655792,-8.98810875,20.34658292,35.12942523,0
174.2205076,45.731441,-80.48640125,-8.97409875,20.31631169,35.12677151,0
174.2455649,47.48742017,-80.50124,-8.95792667,20.27778078,35.12299589,0
174.1323714,48.78284937,-80.51166667,-8.94447417,20.24830688,35.1200859,0
173.4948806,49.31838513,-80.51488043,-8.93188043,20.22829866,35.11835677,0
171.5596428,47.89754514,-80.50016667,-8.92209967,20.23181029,35.12038647,0
169.6488897,46.52157637,-80.4855609,-8.91253045,20.23516016,35.12232375,0
167.7921099,45.22641215,-80.47139417,-8.90319708,20.23803693,35.12411245,0
165.8954941,43.94534363,-80.45691753,-8.89366667,20.20857037,35.12585388,0
164.082514,42.56570108,-80.44168063,-8.88616667,20.17552872,35.12786776,0
162.2402616,41.21487097,-80.42627387,-8.87844053,20.14094122,35.1286819,0
160.4110526,39.97155015,-80.41133875,-8.87033875,20.10269211,35.12881336,0
158.5898833,38.757797,-80.39629292,-8.86245958,20.05732046,35.12888094,0
156.7156339,37.56744233,-80.38082082,-8.85432082,20.00784245,35.12884367,0
154.8507183,36.46653365,-80.36555792,-8.84605792,19.95559591,35.1286724,0
153.0255153,35.45031014,-80.35058078,-8.838,19.9018014,35.12841064,0
151.1943839,34.51332352,-80.33561542,-8.82983333,19.84500707,35.12803219,0
149.3607349,33.65094338,-80.32060542,-8.82166667,19.77703386,35.12755529,0
147.4063428,32.86571167,-80.30484757,-8.8126809,19.69137784,35.12687787,0
145.5352459,32.19783868,-80.28966667,-8.80416667,19.6083181,35.12613929,0
143.6973662,31.5549652,-80.27440583,-8.79616667,19.52587864,35.12538871,0
141.8744429,30.83293648,-80.25900084,-8.7885,19.44323209,35.12460419,0
139.9408558,30.18150325,-80.2426675,-8.78033333,19.35443204,35.12365882,0
138.0911679,29.6709802,-80.22701917,-8.77251917,19.26840049,35.12265194,0
136.2700448,29.40691661,-80.2123725,-8.764,19.18218382,35.12137336,0
134.4117402,29.22438434,-80.19786364,-8.75483333,19.09285327,35.11985323,0
132.437021,29.06236966,-80.18252206,-8.745,19.00160439,35.11809632,0
130.5989404,28.89262797,-80.16808292,-8.736,18.94496644,35.11638561,0
128.7544669,28.79779891,-80.15371183,-8.72683333,18.90136608,35.11452907,0
126.9163371,28.68794454,-80.13945375,-8.71762042,18.87039253,35.11255222,0
